manifesto_id,filename,path,municipality,state,party,party_abbreviation,election_year,election_type,document_type,mapping_method,mapping_status,city_abbreviation
GLMP-3F92E72C89,ob99cdu.txt,manifestos/ob99cdu.txt,Oberhausen,Nordrhein-Westfalen,CDU,cdu,1999.0,local election,Wahlprogramm,legacy_filename,ok,ob
GLMP-4E1FA8FBB6,si99gru.txt,manifestos/si99gru.txt,Siegen,Nordrhein-Westfalen,Grüne,gru,1999.0,local election,Wahlprogramm,legacy_filename,ok,si
GLMP-45D856A0FF,wu99gru.txt,manifestos/wu99gru.txt,Wuppertal,Nordrhein-Westfalen,Grüne,gru,1999.0,local election,Wahlprogramm,legacy_filename,ok,wu
GLMP-7A36313E1D,da01die.txt,manifestos/da01die.txt,Darmstadt,Hessen,Die Frauen,die,2001.0,local election,Wahlprogramm,legacy_filename,ok,da
GLMP-A3F70A2B00,da01spd.txt,manifestos/da01spd.txt,Darmstadt,Hessen,SPD,spd,2001.0,local election,Wahlprogramm,legacy_filename,ok,da
GLMP-EB59D5802F,ff01cdu.txt,manifestos/ff01cdu.txt,Frankfurt am Main,Hessen,CDU,cdu,2001.0,local election,Wahlprogramm,legacy_filename,ok,ff
GLMP-5FCF999922,ff01die.txt,manifestos/ff01die.txt,Frankfurt am Main,Hessen,Die Frauen,die,2001.0,local election,Wahlprogramm,legacy_filename,ok,ff
GLMP-D3D6636029,ff01fag.txt,manifestos/ff01fag.txt,Frankfurt am Main,Hessen,FlughafenAusbauGegner,fag,2001.0,local election,Wahlprogramm,legacy_filename,ok,ff
GLMP-4B14C4AAE2,ka01cdu.txt,manifestos/ka01cdu.txt,Kassel,Hessen,CDU,cdu,2001.0,local election,Wahlprogramm,legacy_filename,ok,ka
GLMP-7435AB24C0,ka01lin.txt,manifestos/ka01lin.txt,Kassel,Hessen,Die Linke,lin,2001.0,local election,Wahlprogramm,legacy_filename,ok,ka
GLMP-3113A5A9AD,ka01fdp.txt,manifestos/ka01fdp.txt,Kassel,Hessen,FDP,fdp,2001.0,local election,Wahlprogramm,legacy_filename,ok,ka
GLMP-2C1908EB1B,ka01fwg.txt,manifestos/ka01fwg.txt,Kassel,Hessen,Freie Wähler,fwg,2001.0,local election,Wahlprogramm,legacy_filename,ok,ka
GLMP-7D8A3E2EFB,ka01gru.txt,manifestos/ka01gru.txt,Kassel,Hessen,Grüne,gru,2001.0,local election,Wahlprogramm,legacy_filename,ok,ka
GLMP-72046AECB3,of01lin.txt,manifestos/of01lin.txt,Offenbach am Main,Hessen,Die Linke,lin,2001.0,local election,Wahlprogramm,legacy_filename,ok,of
GLMP-5FA0E46AB5,of01fdp.txt,manifestos/of01fdp.txt,Offenbach am Main,Hessen,FDP,fdp,2001.0,local election,Wahlprogramm,legacy_filename,ok,of
GLMP-BC27C241F6,of01gru.txt,manifestos/of01gru.txt,Offenbach am Main,Hessen,Grüne,gru,2001.0,local election,Wahlprogramm,legacy_filename,ok,of
GLMP-275B140B5F,wi01lin.txt,manifestos/wi01lin.txt,Wiesbaden,Hessen,Die Linke,lin,2001.0,local election,Wahlprogramm,legacy_filename,ok,wi
GLMP-D308FB959A,wi01fdp.txt,manifestos/wi01fdp.txt,Wiesbaden,Hessen,FDP,fdp,2001.0,local election,Wahlprogramm,legacy_filename,ok,wi
GLMP-EE2D3C58F8,ac04ggs.txt,manifestos/ac04ggs.txt,Aachen,Nordrhein-Westfalen,Gemeinsam gegen Sozialkahlschlag (GGS),ggs,2004.0,local election,Wahlprogramm,legacy_filename,ok,ac
GLMP-A169AE4653,ac04spd.txt,manifestos/ac04spd.txt,Aachen,Nordrhein-Westfalen,SPD,spd,2004.0,local election,Wahlprogramm,legacy_filename,ok,ac
GLMP-C59B170C58,bi04gru.txt,manifestos/bi04gru.txt,Bielefeld,Nordrhein-Westfalen,Grüne,gru,2004.0,local election,Wahlprogramm,legacy_filename,ok,bi
GLMP-3C92C20C1E,bo04cdu.txt,manifestos/bo04cdu.txt,Bochum,Nordrhein-Westfalen,CDU,cdu,2004.0,local election,Wahlprogramm,legacy_filename,ok,bo
GLMP-878F5D02EE,bo04fdp.txt,manifestos/bo04fdp.txt,Bochum,Nordrhein-Westfalen,FDP,fdp,2004.0,local election,Wahlprogramm,legacy_filename,ok,bo
GLMP-F6FA65D8C5,bo04gru.txt,manifestos/bo04gru.txt,Bochum,Nordrhein-Westfalen,Grüne,gru,2004.0,local election,Wahlprogramm,legacy_filename,ok,bo
GLMP-09644ECC4C,bn04cdu.txt,manifestos/bn04cdu.txt,Bonn,Nordrhein-Westfalen,CDU,cdu,2004.0,local election,Wahlprogramm,legacy_filename,ok,bn
GLMP-4EB03F034B,bn04gru.txt,manifestos/bn04gru.txt,Bonn,Nordrhein-Westfalen,Grüne,gru,2004.0,local election,Wahlprogramm,legacy_filename,ok,bn
GLMP-88B9A478FD,bn04spd.txt,manifestos/bn04spd.txt,Bonn,Nordrhein-Westfalen,SPD,spd,2004.0,local election,Wahlprogramm,legacy_filename,ok,bn
GLMP-7F710AC8F0,ds04cdu.txt,manifestos/ds04cdu.txt,Duesseldorf,Nordrhein-Westfalen,CDU,cdu,2004.0,local election,Wahlprogramm,legacy_filename,ok,ds
GLMP-540AE40898,du04lin.txt,manifestos/du04lin.txt,Duisburg,Nordrhein-Westfalen,Die Linke,lin,2004.0,local election,Wahlprogramm,legacy_filename,ok,du
GLMP-40E7CC02F2,du04fdp.txt,manifestos/du04fdp.txt,Duisburg,Nordrhein-Westfalen,FDP,fdp,2004.0,local election,Wahlprogramm,legacy_filename,ok,du
GLMP-CCC81174CA,es04fdp.txt,manifestos/es04fdp.txt,Essen,Nordrhein-Westfalen,FDP,fdp,2004.0,local election,Wahlprogramm,legacy_filename,ok,es
GLMP-26DEC10118,ha04gru.txt,manifestos/ha04gru.txt,Hagen,Nordrhein-Westfalen,Grüne,gru,2004.0,local election,Wahlprogramm,legacy_filename,ok,ha
GLMP-9F6154F852,hm04cdu.txt,manifestos/hm04cdu.txt,Hamm,Nordrhein-Westfalen,CDU,cdu,2004.0,local election,Wahlprogramm,legacy_filename,ok,hm
GLMP-8CD92EE9D6,hm04gru.txt,manifestos/hm04gru.txt,Hamm,Nordrhein-Westfalen,Grüne,gru,2004.0,local election,Wahlprogramm,legacy_filename,ok,hm
GLMP-58F40DBC62,ko04lin.txt,manifestos/ko04lin.txt,Koeln,Nordrhein-Westfalen,Die Linke,lin,2004.0,local election,Wahlprogramm,legacy_filename,ok,ko
GLMP-AD57D2732A,ko04fdp.txt,manifestos/ko04fdp.txt,Koeln,Nordrhein-Westfalen,FDP,fdp,2004.0,local election,Wahlprogramm,legacy_filename,ok,ko
GLMP-61D5BE0131,ko04gru.txt,manifestos/ko04gru.txt,Koeln,Nordrhein-Westfalen,Grüne,gru,2004.0,local election,Wahlprogramm,legacy_filename,ok,ko
GLMP-7BA564C6EB,ko04spd.txt,manifestos/ko04spd.txt,Koeln,Nordrhein-Westfalen,SPD,spd,2004.0,local election,Wahlprogramm,legacy_filename,ok,ko
GLMP-17402F5EB8,kr04cdu.txt,manifestos/kr04cdu.txt,Krefeld,Nordrhein-Westfalen,CDU,cdu,2004.0,local election,Wahlprogramm,legacy_filename,ok,kr
GLMP-C739DAD803,kr04spd.txt,manifestos/kr04spd.txt,Krefeld,Nordrhein-Westfalen,SPD,spd,2004.0,local election,Wahlprogramm,legacy_filename,ok,kr
GLMP-258DE1835D,le04gru.txt,manifestos/le04gru.txt,Leverkusen,Nordrhein-Westfalen,Grüne,gru,2004.0,local election,Wahlprogramm,legacy_filename,ok,le
GLMP-5314DE51DF,mg04fdp.txt,manifestos/mg04fdp.txt,Moenchengladbach,Nordrhein-Westfalen,FDP,fdp,2004.0,local election,Wahlprogramm,legacy_filename,ok,mg
GLMP-0D9FF48CD2,mg04fwg.txt,manifestos/mg04fwg.txt,Moenchengladbach,Nordrhein-Westfalen,Freie Wähler,fwg,2004.0,local election,Wahlprogramm,legacy_filename,ok,mg
GLMP-1F90DCCB14,mg04spd.txt,manifestos/mg04spd.txt,Moenchengladbach,Nordrhein-Westfalen,SPD,spd,2004.0,local election,Wahlprogramm,legacy_filename,ok,mg
GLMP-6AA0F5C0FC,mo04cdu.txt,manifestos/mo04cdu.txt,Moers,Nordrhein-Westfalen,CDU,cdu,2004.0,local election,Wahlprogramm,legacy_filename,ok,mo
GLMP-2C43D7721D,mo04lin.txt,manifestos/mo04lin.txt,Moers,Nordrhein-Westfalen,Die Linke,lin,2004.0,local election,Wahlprogramm,legacy_filename,ok,mo
GLMP-A5BDE58441,mh04mbi.txt,manifestos/mh04mbi.txt,Muelheim an der Ruhr,Nordrhein-Westfalen,Mülheimer Bürger Initiative,mbi,2004.0,local election,Wahlprogramm,legacy_filename,ok,mh
GLMP-2AC03EA2A3,ms04cdu.txt,manifestos/ms04cdu.txt,Muenster,Nordrhein-Westfalen,CDU,cdu,2004.0,local election,Wahlprogramm,legacy_filename,ok,ms
GLMP-A9093121A3,ms04fdp.txt,manifestos/ms04fdp.txt,Muenster,Nordrhein-Westfalen,FDP,fdp,2004.0,local election,Wahlprogramm,legacy_filename,ok,ms
GLMP-25D7A20F35,ne04spd.txt,manifestos/ne04spd.txt,Neuss,Nordrhein-Westfalen,SPD,spd,2004.0,local election,Wahlprogramm,legacy_filename,ok,ne
GLMP-E964B63E2F,ob04cdu.txt,manifestos/ob04cdu.txt,Oberhausen,Nordrhein-Westfalen,CDU,cdu,2004.0,local election,Wahlprogramm,legacy_filename,ok,ob
GLMP-10BC3DC6C3,rs04fdp.txt,manifestos/rs04fdp.txt,Remscheid,Nordrhein-Westfalen,FDP,fdp,2004.0,local election,Wahlprogramm,legacy_filename,ok,rs
GLMP-30662D0BA5,si04gru.txt,manifestos/si04gru.txt,Siegen,Nordrhein-Westfalen,Grüne,gru,2004.0,local election,Wahlprogramm,legacy_filename,ok,si
GLMP-21B6D94913,wu04gru.txt,manifestos/wu04gru.txt,Wuppertal,Nordrhein-Westfalen,Grüne,gru,2004.0,local election,Wahlprogramm,legacy_filename,ok,wu
GLMP-49BFBA67EE,da06die.txt,manifestos/da06die.txt,Darmstadt,Hessen,Die Frauen,die,2006.0,local election,Wahlprogramm,legacy_filename,ok,da
GLMP-64C3635AB7,da06lin.txt,manifestos/da06lin.txt,Darmstadt,Hessen,Die Linke,lin,2006.0,local election,Wahlprogramm,legacy_filename,ok,da
GLMP-166E139D7A,da06spd.txt,manifestos/da06spd.txt,Darmstadt,Hessen,SPD,spd,2006.0,local election,Wahlprogramm,legacy_filename,ok,da
GLMP-13BFE377EC,da06uff.txt,manifestos/da06uff.txt,Darmstadt,Hessen,Uffbasse,uff,2006.0,local election,Wahlprogramm,legacy_filename,ok,da
GLMP-0EAB27BD31,dl06cdu.txt,manifestos/dl06cdu.txt,Delmenhorst,Niedersachsen,CDU,cdu,2006.0,local election,Wahlprogramm,legacy_filename,ok,dl
GLMP-538589057C,dl06spd.txt,manifestos/dl06spd.txt,Delmenhorst,Niedersachsen,SPD,spd,2006.0,local election,Wahlprogramm,legacy_filename,ok,dl
GLMP-43D8DA35BF,em06fdp.txt,manifestos/em06fdp.txt,Emden,Niedersachsen,FDP,fdp,2006.0,local election,Wahlprogramm,legacy_filename,ok,em
