state_name;state;rb;kreis;vb;gem;city;area;inhabitants_2024;
Mecklenburg-Vorpommern;13;0;76;0060;060;Hagenow;67,54;12399;
Sachsen;14;5;22;0230;230;Hainichen;51,74;8448;
Sachsen-Anhalt;15;0;83;0270;270;Haldensleben;156,31;19267;
Sachsen-Anhalt;15;0;02;0000;000;Halle (Saale);135,56;226767;
Nordrhein-Westfalen;;;;;hm;Hamm;226,66;179968;
Niedersachsen;;;;;hv;Hannover;204,3;522131;
Rheinland-Pfalz;7;3;32;0025;025;Haßloch;39,95;20387;
Baden-Württemberg;8;2;21;0000;000;Heidelberg;108,83;155756;
Baden-Württemberg;8;1;35;5002;019;Heidenheim an der Brenz;107,09;50025;
Baden-Württemberg;8;1;21;0000;000;Heilbronn;99,89;131986;
Rheinland-Pfalz;7;1;32;5003;050;Herdorf;17,99;6651;
Mecklenburg-Vorpommern;13;0;75;0049;049;Heringsdorf;37,81;8425;
Nordrhein-Westfalen;;;;;he;Herne;51,42;155851;
Niedersachsen;;;;;hi;Hildesheim;;98510;
Sachsen-Anhalt;15;0;84;0235;235;Hohenmölsen;75,32;9457;
Baden-Württemberg;8;3;26;5001;027;Hüfingen;58,53;7976;
Bayern;;;;;in;Ingolstadt;133,35;141185;
Thüringen;16;0;53;0000;000;Jena;114,77;109725;
Rheinland-Pfalz;7;3;12;0000;000;Kaiserslautern;139,7;100426;
Sachsen-Anhalt;15;0;81;0240;240;Kalbe (Milde);272,84;7407;
Baden-Württemberg;8;3;36;5001;045;Kandern;62,26;8537;
Baden-Württemberg;8;2;12;0000;000;Karlsruhe;173,42;309050;
Hessen;;;;;ka;Kassel;106,79;197230;
Baden-Württemberg;8;2;36;0070;070;Keltern;29,82;9100;
Schleswig-Holstein;;;;;ki;Kiel;118,65;252668;
Sachsen;14;5;24;5111;130;Kirchberg;39,56;8082;
Rheinland-Pfalz;7;3;33;5004;039;Kirchheimbolanden;26,36;7998;
Brandenburg;12;0;69;0304;304;Kleinmachnow;11,91;20341;
Rheinland-Pfalz;7;1;11;0000;000;Koblenz;105,25;113378;
Nordrhein-Westfalen;;;;;ko;Köln;405,02;1024621;
Thüringen;16;0;73;5054;112;Königsee;103,01;7176;
Baden-Württemberg;8;3;35;5004;043;Konstanz;54,12;85859;
Nordrhein-Westfalen;;;;;kr;Krefeld;137,77;231406;
Mecklenburg-Vorpommern;13;0;72;5257;062;Laage;114,9;6549;
Rheinland-Pfalz;7;1;41;0075;075;Lahnstein;37,62;18433;
Sachsen;14;6;25;0310;310;Lauta;42,14;8082;
Sachsen;14;5;21;0355;355;Lauter-Bernsbach;30,28;8410;
Saarland;10;0;44;0112;112;Lebach;64,21;19095;
Brandenburg;12;0;65;0180;180;Leegebruch;6,45;6914;
Thüringen;16;0;61;0115;115;Leinefelde-Worbis;115,79;20119;
Sachsen;14;7;13;0000;000;Leipzig;297,8;611850;
Nordrhein-Westfalen;;;;;le;Leverkusen;78,87;168581;
Rheinland-Pfalz;7;3;34;5005;017;Lingenfeld;15,21;5832;
Saarland;10;0;42;0112;112;Losheim am See;96,95;16133;
Sachsen;14;7;29;0245;245;Lossatal;111,17;6178;
Brandenburg;12;0;61;0320;320;Luckau;207,44;9501;
Baden-Württemberg;8;1;18;0048;048;Ludwigsburg;43,34;94157;
Rheinland-Pfalz;7;3;14;0000;000;Ludwigshafen am Rhein;77,43;176614;
Mecklenburg-Vorpommern;13;0;76;0090;090;Ludwigslust;78,64;12270;
Schleswig-Holstein;;;;;lb;Lübeck;214,19;216889;
Sachsen-Anhalt;15;0;03;0000;000;Magdeburg;201,68;244329;
Rheinland-Pfalz;7;3;15;0000;000;Mainz;97,73;224684;
Saarland;10;0;45;0116;116;Mandelbachtal;57,71;10566;
Baden-Württemberg;8;2;22;0000;000;Mannheim;144,97;318035;
Saarland;10;0;46;0112;112;Marpingen;39,83;9935;
Thüringen;16;0;66;5050;042;Meiningen;123,03;25582;
Baden-Württemberg;8;4;37;5002;076;Mengen;49,82;9995;
Saarland;10;0;42;0114;114;Mettlach;77,82;12082;
Sachsen-Anhalt;15;0;86;0140;140;Möckern;524,85;12918;
Nordrhein-Westfalen;;;;;mg;Mönchengladbach;170,47;267213;
Nordrhein-Westfalen;;;;;mo;Moers;67,64;101503;
Nordrhein-Westfalen;;;;;mh;Mülheim an der Ruhr;91,28;173050;
Bayern;;;;;mu;München;310,7;1505005;
Nordrhein-Westfalen;;;;;ms;Münster;303,28;308258;
Mecklenburg-Vorpommern;13;0;71;0107;107;Neubrandenburg;86,12;63989;
Thüringen;16;0;72;5051;013;Neuhaus am Rennweg;108,22;8927;
Nordrhein-Westfalen;;;;;ne;Neuss;99,52;154317;
Rheinland-Pfalz;7;3;16;0000;000;Neustadt an der Weinstraße;117,09;53981;
Mecklenburg-Vorpommern;13;0;76;5660;105;Neustadt-Glewe;94,05;6931;
Mecklenburg-Vorpommern;13;0;71;0110;110;Neustrelitz;139,89;20340;
Rheinland-Pfalz;7;1;38;0045;045;Neuwied;86,5;65986;
Rheinland-Pfalz;7;3;39;5006;042;Nieder-Olm;11,22;10362;
Thüringen;16;0;77;5051;036;Nobitz;100,37;7127;
Saarland;10;0;46;0114;114;Nohfelden;100,82;9934;
