filename;content_hash;bytes;document_type;program_scope;classification_reason;municipality_used;party;election_year;matched_main_by_content;matched_main_filenames;document_id;main_use_id;ags;ags_source
Seelow_SPD_2024.txt;d39b6ab8ae3766696574a30a25abacdd76fecc4649fba6fd003d029e6cf1a829;22683;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;explizite Doppeladressierung Kreis/Gemeinden;Seelow;SPD;2024.0;yes;Seelow_SPD_2024.txt;DOC-d39b6ab8ae37;USE-3b9cdc08652c;12064448;local_cities_components
Sonneberg_CDU_2024.txt;b5d1342b85b89439d85b61e8d69c519dde30e8f157bbb47b464bd1689d4c8a7a;6340;anderes kommunales Wahlprogramm;Landkreis;expliziter Kreis-/Landkreisbezug;Sonneberg;CDU;2024.0;yes;Sonneberg_CDU_2024.txt;DOC-b5d1342b85b8;USE-a5441699fd90;16072018;local_cities_components
Sonneberg_Grüne_2024.txt;1f9dd2fe52f65972f0170e236eb1e7765e38086772c483ac6d5ff985dc4d4a39;3920;anderes kommunales Wahlprogramm;Landkreis;expliziter Kreis-/Landkreisbezug;Sonneberg;Grüne;2024.0;yes;Sonneberg_Grüne_2024.txt;DOC-1f9dd2fe52f6;USE-a32d121d0493;16072018;local_cities_components
Staßfurt_Grüne_2024.txt;67798fc26623a30ab16c2e6c611e1445ae07e334c7e60825ed838789167cb87f;4151;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;explizite Doppeladressierung Kreis/Gemeinden;Staßfurt;Grüne;2024.0;yes;Staßfurt_Grüne_2024.txt;DOC-67798fc26623;USE-23ce66284941;15089310;local_cities_components
Staßfurt_SPD_2024.txt;d696d19cd7f9d3c860d5df7cc508227dc2babb4e10e40c32419c6117eb4b1e00;442;anderes kommunales Wahlprogramm;Landkreis;expliziter Kreis-/Landkreisbezug;Staßfurt;SPD;2024.0;yes;Staßfurt_SPD_2024.txt;DOC-d696d19cd7f9;USE-8eaffa0dde10;15089310;local_cities_components
Stralsund_AfD_2024.txt;76dfd5499dddb9715310a54808c4f401816c316c3bf5bb5b28fffdaf1bc7b1ab;16155;anderes kommunales Wahlprogramm;Landkreis;expliziter Kreis-/Landkreisbezug;Stralsund;AfD;2024.0;yes;Stralsund_AfD_2024.txt;DOC-76dfd5499ddd;USE-0b9c4f7fb02c;13073088;local_cities_components
Sundhagen_AfD_2024.txt;b3315a5682a84f7cb95f563e02df74d0808c560821ba1086e558161a459c1403;15814;anderes kommunales Wahlprogramm;Landkreis;expliziter Kreis-/Landkreisbezug;Sundhagen;AfD;2024.0;yes;Sundhagen_AfD_2024.txt;DOC-b3315a5682a8;USE-01dc9f2af803;13073090;local_cities_components
Sundhagen_BKW_2024.txt;9c3b58b5f708906a3c37811916b79fb7334cf7d25f0cab9af40b2cb3b577230a;1253;anderes kommunales Wahlprogramm;Gemeinde;"local municipal campaign programme; local demands dominate";Sundhagen;BKW;2024.0;yes;Sundhagen_BKW_2024.txt;DOC-9c3b58b5f708;USE-8811ef1255ad;13073090;local_cities_components
Sundhagen_CDU_2024.txt;54422068eb189e6eb084047880b444b66674d5376f394b2f42686f1b418c6f21;11675;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;explizite Doppeladressierung Kreis/Gemeinden;Sundhagen;CDU;2024.0;yes;Sundhagen_CDU_2024.txt;DOC-54422068eb18;USE-bf1e5226c408;13073090;local_cities_components
Sundhagen_Linke_2024.txt;0adee750734cbeccecf819b43c4b84c6e1fb55c94aba61b80c52df90cc474b06;18440;anderes kommunales Wahlprogramm;Land;Landesverband/Landesebene explizit;Sundhagen;Linke;2024.0;yes;Sundhagen_Linke_2024.txt;DOC-0adee750734c;USE-ceadb4fb4ee1;13073090;local_cities_components
