document_use_id;document_id;manifesto_id;municipality;state;ags;party;party_abbreviation;election_year;document_type;program_scope;use_type;filename;source;content_hash;ags_source
USE-aa99fc171dae;DOC-72bd74b2939a;GLMP-42D957409F;Offenbach am Main;Hessen;06413000;FDP;fdp;1997.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;of97fdp.txt;main;72bd74b2939a7bec1a01ed43345c437592a9e960e47e6285602d2ab9e9ad1e0c;manual_2024_reference
USE-9f362307b2a7;DOC-51c6eacce4d1;GLMP-D082DF80B9;Offenbach am Main;Hessen;06413000;Grüne;gru;1997.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;of97gru.txt;main;51c6eacce4d18698ae4dd4955902e96ab1b7515c76fd0619005dfbef49daa721;manual_2024_reference
USE-98290892dbdf;DOC-43a4dd25cfd7;GLMP-0E35705B46;Aachen;Nordrhein-Westfalen;05334002;SPD;spd;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ac99spd.txt;main;43a4dd25cfd7cb3b02f4d2d82d270b062138116c4c648d7e729ab754e98fa113;manual_2024_reference
USE-8e72e22e5eff;DOC-770194e16433;GLMP-5454851897;Bielefeld;Nordrhein-Westfalen;05711000;Grüne;gru;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;bi99gru.txt;main;770194e16433561afd01d4484ff4ac9f411a4e307268ad7295cab35af94be2aa;manual_2024_reference
USE-91af0a38d02f;DOC-4d790188360f;GLMP-38B32FB7BA;Bochum;Nordrhein-Westfalen;05911000;FDP;fdp;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;bo99fdp.txt;main;4d790188360f6be2ecab5e12458d19a25faba3bae9b4ff22fc8f002027a5eb1c;manual_2024_reference
USE-8611539f37e7;DOC-8158f7f60717;GLMP-02AA95C9ED;Bochum;Nordrhein-Westfalen;05911000;Grüne;gru;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;bo99gru.txt;main;8158f7f60717756f80211e0d59701509843df51aadeb173dd029418a21f6a398;manual_2024_reference
USE-1e970ef84c85;DOC-b0b114a1510f;GLMP-C14E2272AE;Bonn;Nordrhein-Westfalen;05314000;CDU;cdu;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;bn99cdu.txt;main;b0b114a1510f0ef8a95c38caa10375babfb25c54badd838369a70945bce73ce6;manual_2024_reference
USE-8021768ca69c;DOC-79cbe2640ca6;GLMP-B7B335DAD8;Bonn;Nordrhein-Westfalen;05314000;Grüne;gru;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;bn99gru.txt;main;79cbe2640ca6910187a2615f5de59f7a7580eba5d1208ddfd36adb7855bd1504;manual_2024_reference
USE-d334430e461e;DOC-f0dfa0ab8cfe;GLMP-6CABD85A43;Essen;Nordrhein-Westfalen;05113000;FDP;fdp;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;es99fdp.txt;main;f0dfa0ab8cfee906e42c7fa5588afd2c0cda79e8681f5690177b0a944be6f577;manual_2024_reference
USE-ded0e17f0413;DOC-e66d528e9467;GLMP-E4F514A69D;Hamm;Nordrhein-Westfalen;05915000;Grüne;gru;1999.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;hm99gru.txt;main;e66d528e9467ff25da2bdecca969952347394db7805cc7df15a3dc411fa32d84;manual_2024_reference
