document_id;filename;document_type;program_scope;election_year;content_hash;bytes;source_count;main_file_count;other_file_count
DOC-0345c6b0d3c2;Zweibrücken_Grüne_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0345c6b0d3c20ddc79d1e595dc6cc86888c4b954013d9855f6e6a236f0f7ba55;22808;1;1;0
DOC-034bfefca7d5;Saarwellingen_CDU_2024.txt;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;2024.0;034bfefca7d50fd3246857641e17ef45973b202b2daa8588c773fd15d5efd7b4;20242;2;1;1
DOC-0361e30b5b86;lb18dkp.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2018.0;0361e30b5b86fd7641f9ab1fe2335101b360d88de15ddb70b324e53eee8923f2;53858;1;1;0
DOC-038f5ba10265;Sindelfingen_CDU_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;038f5ba102659e81288380921592020180afee6f57d0a00bab00b9ca7ec4e267;23156;1;1;0
DOC-0397189af707;pb20cdu.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;0397189af707cd2cbabbc3fe4383d5eaa4b38fb1d9d5ef34399431f424c81420;6719;1;1;0
DOC-03c37ec10a40;lu14cdu.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;03c37ec10a4036ac1cfa28e6b77cceb244e0e87b0a11f6d7129304313974031b;26536;1;1;0
DOC-03f28497bafb;mo14gru.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;03f28497bafbcb003d9320184ad18a807a89233f6b251e0d6b6899dd8ecfe002;11825;1;1;0
DOC-04371c921b4b;Esslingen am Neckar_CDU_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;04371c921b4b26470ab2f33610034649791aa57482456b140f65f60a439eb859;15612;1;1;0
DOC-043e5ece8238;Weimar_CDU_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;043e5ece8238662f78aca481451ef212451f47be38c62df5ff0bb1d2be5eb612;59951;1;1;0
DOC-049ab4a8bf1e;bg14gru.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;049ab4a8bf1e186c97daf13d686bdce2823143266e74da94b0b6ca82b1c16109;88362;1;1;0
DOC-04b372648196;Greifswald_Alternative Liste_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;04b3726481965d2bdbcab0bad2a7160ca63b9caabe8fb8f369b25bb41deac3d5;23247;1;1;0
DOC-0505000df9d8;ge09gru.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2009.0;0505000df9d8960a47d2850729151aa3aff395baf9267c35f9db2e40846d07eb;25277;1;1;0
DOC-0530dfed429b;Leipzig_FDP_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0530dfed429b5a85aef5072072c14f2eae2dd6ef609cc537609ad711af50452e;90089;1;1;0
DOC-05ed3fd6013b;Leipzig_FWG_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;05ed3fd6013b901def77e0b3f7f150be761b0da2e4c643a55c4bd98664728f1e;23763;1;1;0
DOC-060efe05727a;au20aib.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;060efe05727a8f3a10ed03dce3a75326e008d231845e352dd8a9d448426d1b22;37966;1;1;0
DOC-0636015be7da;nu20afd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;0636015be7da75121f6a53d815ae09679626b371d70deba26afe7f365812af15;10510;1;1;0
DOC-063dddd2067e;wu14wfw.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;063dddd2067e81a95ccbfe07d52b80ca33bba8b468bb2157654cd3f057c0a3ca;20669;1;1;0
DOC-068c51390514;mo20fdp.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;068c5139051408c71fd1352f5830382d384f975a6eee831e1549d56bebedaeb9;20953;1;1;0
DOC-06e352148b6b;si94gru.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;1994.0;06e352148b6bb4cdf853848b27cca47f7af8af1aa55bbf9d59c29b357c62d5d0;140902;1;1;0
DOC-0707af5b4d8c;ob04cdu.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2004.0;0707af5b4d8cc939afddd67d700bc2f2738be1ab23170239d7b90e8219970bb0;68231;1;1;0
DOC-070f4d6e3127;Traben-Trarbach_CDU_2024.txt;anderes kommunales Wahlprogramm;Land;2024;070f4d6e31275440d03f34a093074eed50c5454075320a2173dba7e05e0d5b8a;43715;1;0;1
DOC-0712141163d7;wz14odp.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;0712141163d79b3aa02640bf12a5119ef7dc25968644633a9485d099acdc9100;15200;1;1;0
DOC-072755aca9f2;hn14cdu.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;072755aca9f2257e2ad36ade5bbb6820f5ec5b960b5b3cf3c76db52e3334161f;52786;1;1;0
DOC-0736601880b6;gt20spd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;0736601880b699a8e72eabde6c471654d6d8bce0b004f24cd01dbcf1fb71a5aa;150251;1;1;0
DOC-0757f1e642a4;Villingen-Schwenningen_CDU_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0757f1e642a4bd2eb2cf052c09ac4176059f53f89cfee94773e5d6aeeac36ec2;12659;1;1;0
DOC-075e5075b987;bn20cdu.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;075e5075b987c25e563067a0b64ae4545f4b055f6aad9476e7cb1cda92eb9ea5;36769;1;1;0
DOC-075fb05935d3;Ditzingen_Grüne_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;075fb05935d36f4117e14a2f7af893a733766ab6ce2f3e5238080b75b427d2f8;2812;1;1;0
DOC-076277e3b3da;em06spd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2006.0;076277e3b3dabfec025f800e3ff56454517202f23669bc23c5d11c31f29ce360;14739;1;1;0
DOC-0772d16c12db;Heilbronn_AfD_2024.txt;anderes kommunales Wahlprogramm;Landkreis;2024.0;0772d16c12dba98943c272bf5fe79935e5fde4719201fad36f6eed8445249f55;1196;2;1;1
DOC-07c6326faaf0;pf14lis.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;07c6326faaf0a38e222bf41af04ba242c30c77083cb1d75b9388242d7b655cbb;993;1;1;0
DOC-081921f796ad;mz19cdu.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2019.0;081921f796adcc5336741d5fb837f56990c7c03bb9015dcefdde29afeaa3f317;52683;1;1;0
DOC-084ae642048c;Freiburg im Breisgau_Junges Freiburg_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;084ae642048cdf766c37071f1ffb8ca54ec47e277f90c72d35f2939230874afd;37376;1;1;0
DOC-086876bd4f94;lu14pir.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;086876bd4f94d8a3552f738588a0cbf5b8267646da71875ebc16256da90c5c05;19166;1;1;0
DOC-08a9ded944b2;sg14afd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;08a9ded944b23effd964d89775083b3761af3856b6805ba2bdae91dafe7420ea;29206;1;1;0
DOC-08cb03fa9979;bo14afd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;08cb03fa9979e32e5289b832b5798115e2ce85a4e34cf962018fb9a3a77caa7f;20733;1;1;0
DOC-08cee29550c3;Erfurt_ÖDP_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;08cee29550c3e22c154e05522fad21881fdd7a0b755b29f4ab2653cbe928966d;48188;1;1;0
DOC-08d40b9f12f7;Dresden_Freie Sachsen_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;08d40b9f12f7777970805e8784ba1d82d9b950a78fc2599c335d6e3d01fe2aa5;18011;1;1;0
DOC-0921b94ecbde;Halle (Saale)_Die Basis_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0921b94ecbdeb62bcb3e355b0ae108f95e7bfcc7f67ed3c2005bd1f08bf7e097;11333;1;1;0
DOC-09244e75da4f;mo20fbm.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;09244e75da4ff63e15d7c80b831e8e19589a0fa4f6a71727228aeaaeb973b0a8;24353;1;1;0
